College Course,,Hours
COLL 113,INTERMEDIATE CANTONESE,1
COLL 115,PSYCHOLOGY OF SERIAL KILLERS,1
COLL 116,INTRO TO CANTONESE,1
COLL 126,JUGGLING AND SKILLS,1
COLL 127,HALLYU: RIDING THE KOREAN WAVE,1
COLL 128,INTRO TO FOOTBALL ANALYSIS,1
COLL 129,FILMMAKING FOR FUN,1
COLL 130,"YER A WIZARD, HARRY",1
COLL 131,MINDFUL LIVING,1
COLL 132,LEADING AT RICE AND BEYOND,1
COLL 133,BEATBOXING AND DRUM THEORY,1
COLL 134,TOLKIEN AND LEWIS,1
COLL 135,MAGIC AND MEDICINE,1
COLL 136,"PHYSICIANS, PATIENTS, SOCIETY",1
COLL 182,BASEBALL SABERMETRICS,1
COLL 200,TEACHING PRACTICUM,1
COLL 201,INTRODUCTION TO LAW,3
COLL 202,COOKING WITH CHEF ROGER,1
COLL 210,INTRO TO BASIC WEB PROGRAMMING,1
COLL 299,SCIENTIA SCIENCE & CULTURE,1
COLL 300,PEDAGOGY FOR STDNT INSTRUCTORS,1
