CAAM,,Hours,DIII
CAAM 210,INTRODUCTION TO ENGINEERING COMPUTATION,3,1
CAAM 211,INTRO TO ENG COMPUTATION-LAB,1,1
CAAM 335,MATRIX ANALYSIS,4,1
CAAM 336,DIFFERENTIAL EQUATIONS IN SCIENCE AND ENGINEERING,3,
CAAM 353,COMPUTATIONAL NUMERICAL ANALYSIS,3,
CAAM 378,INTRODUCTION TO OPERATIONS RESEARCH AND OPTIMIZATION,3,
CAAM 401,ANALYSIS I,3,
CAAM 402,ANALYSIS II,3,
CAAM 415,THEORETICAL NEUROSCIENCE I: BIOPHYSICAL MODELING OF CELLS AND CIRCUITS,3,
CAAM 416,"THEORETICAL NEUROSCIENCE II: LEARNING, PERCEPTION, AND COGNITION",3,
CAAM 420,COMPUTATIONAL SCIENCE I,3,
CAAM 423,PARTIAL DIFFERENTIAL EQUATIONS I,3,
CAAM 435,DYNAMICAL SYSTEMS,3,
CAAM 436,PARTIAL DIFFERENTIAL EQUATIONS OF MATHEMATICAL PHYSICS,3,
CAAM 440,APPLIED MATRIX ANALYSIS,3,
CAAM 452,NUMERICAL METHODS FOR PARTIAL DIFFERENTIAL EQUATIONS,3,
CAAM 453,NUMERICAL ANALYSIS I,3,
CAAM 454,NUMERICAL ANALYSIS II,3,
CAAM 469,DYNAMICAL SYSTEMS LAB,3,
CAAM 470,INTRODUCTION TO GRAPH THEORY,1,
CAAM 471,INTRODUCTION TO LINEAR AND INTEGER PROGRAMMING,3,
CAAM 474,COMBINATORIAL OPTIMIZATION,3,
CAAM 480,PEDAGOGY FOR CAAM 210 RICE LEARNING ASSISTANTS,2,
CAAM 490,INDEPENDENT STUDY,V,
CAAM 491,INDEPENDENT STUDY,V,
CAAM 495,SENIOR DESIGN PROJECT I,V,
CAAM 496,SENIOR DESIGN PROJECT II,V,
CAAM 498,RESEARCH THEMES IN THE MATHEMATICAL SCIENCES,V,
CAAM 499,MATHEMATICAL SCIENCES VIGRE SEMINAR,V,
CAAM 520,COMPUTATIONAL SCIENCE II,3,
