BIOC,,Hours,DIII
BIOC 111,Fundamentals of Experimental Biology,1,
BIOC 115,Freshman Seminar in Local Biology Research,1,1
BIOC 122,Fundamental Concepts in Biology,3,1
BIOC 201,Introductory Biology,3,1
BIOC 205,Microbe Hunters Revisted,2,
BIOC 211,Intermediate Experimental Biosciences,2,
BIOC 215,Biosciences Lab Teaching,V,
BIOC 216,Discussion Section Teaching,1,
BIOC 300,Paradigms in Biochemistry and Cell Biology,3,
BIOC 301,Biochemistry I,3,
BIOC 302,Biochemistry II,3,
BIOC 310,Independent Research for Biochemistry and Cell Biology Undergraduates,,
BIOC 311,Advanced Experimental Biosciences,2,
BIOC 313,Introductory Synthetic Bio,1,
BIOC 316,,,
BIOC 318,Laboratory Studies in Applied Microbiology,1,
BIOC 320,Laboratory in Tissue Culture,1,
BIOC 321,,,
BIOC 323,,,
BIOC 331,Biology of Infectious Diseases,3,1
BIOC 332,Fundamentals of Systems Physiology,3,
BIOC 334,Evolution,3,1
BIOC 336,,,
BIOC 338,,,
BIOC 341,Cell Biology,3,1
BIOC 344,Molecular Biology and Genetics,3,
BIOC 352,Physical Chemistry for the Biosciences,3,
BIOC 361,Metabolic Engineering for Global Health Environments,3,
BIOC 362,,,
BIOC 363,Endocrinology,3,
BIOC 364,Pediatric Global Health,1,
BIOC 371,Seminar in Contemporary Biological and Biomedical Research,1,
BIOC 372,Immunology,3,
BIOC 380,Fundamental Neuroscience Systems,3,
BIOC 385,Fundamentals of Cellular and Molecular Neuroscience,3,
BIOC 390,Transfer Credit in Biochemistry and Cell Biology,3,
BIOC 393,Laboratory Transfer Credit in Biochemistry and Cell Biology,1,
BIOC 401,Undergraduate Honors Research,5,
BIOC 402,Undergraduate Honors Reasearch,5,
BIOC 412,Undergraduate Research Seminar,1,
BIOC 413,Experimental Molecular Biology,1,
BIOC 415,Experimental Physiology,1,
BIOC 424,Microbiology and Biotechnology,3,
BIOC 425,Plant Molecular Genetics and Development,3,
BIOC 443,Advanced Concepts and Critical Analysis in Modern Developmental Biology,3,
BIOC 445,Advanced Molecular Biology and Genetics,3,
BIOC 447,Experimental Biology and the Future of Medicine,3,
BIOC 450,Viruses and Infectious Diseases,3,
BIOC 455,Computational Synthetic Biology,3,
BIOC 460,Cancer Biology,3,
BIOC 464,Extracellular Matrix,3,
BIOC 481,Molecular Biophysics I,3,
BIOC 482,Molecular Biophysics II,3,
BIOC 520,Teaching Biology via Active Learning I,3,
BIOC 521,Teaching Biology via Active Learning Ii,3,
BIOC 524,Microbiology and Biotechnology,3,
BIOC 525,Plant Molecular Genetics and Development,3,
BIOC 530,Lab Module in NMR Spectroscopy and Molecular Modeling,2,
BIOC 532,Laboratory Module in Optical Spectroscopy and Kinetics,2,
BIOC 533,Bioinformatics & Computational Biology,2,
BIOC 535,Practical X-Ray Crystallography,2,
BIOC 540,Metabolic Engineering for Global Health Environments,3,
BIOC 598,,,
