ENST,,Hours,DI,DII,DIII
ENST 101,The Earth,3,,,1
ENST 102,History of the Earth and Life,3,,,
ENST 113,Environmental Crisis Seminar,1,,,1
ENST 114,Natural Disaster Seminar,1,,,1
ENST 179,Introduction to Aquatic Ecology with Scuba,3,,,
ENST 201,The Science Behind Earth Global Warming and Climate Change,3,,,
ENST 204,Environmental Sustainability: The Design & Practice of Community Agriculture,1,,,
ENST 281,Engineering Solutions for Sustainable Communities,3,,,
ENST 301,Introduction to the Environment: environmental History and Environmental Literature,3,,,
ENST 302,Environmetnal Issues: Rice into the Future,3,,1,
ENST 307,Energy and the Environment,3,,,
ENST 312,Environmental Battles in the 21st Century: Houston as Microcosm,3,,1,
ENST 313,Sustainable Design,3,,,
ENST 314,Environmental Health,3,,,
ENST 315,Environmental Health,3,,,
ENST 316,Environmental Film,3,,,
ENST 323,Converstation Biology,3,,,1
ENST 331,Environmental Politics and Policy ,3,,,
ENST 332,The Social Life of Clean Energy,3,,,
ENST 340,Global Biogeochemical Cycles,3,,,1
ENST 350,Environmental Internship,V,,,
ENST 367,Environmental Sociology,3,,1,
ENST 368,Literature and the Environment,3,1,,
ENST 400,Independent Study,V,,,
ENST 406,Introduction to Environmental Law,3,,,
ENST 415,The Environmental Movement,3,,,
ENST 425,Organic Geochemistry,3,,,
ENST 437,Energy Economics,3,,1,
ENST 441,Common Property Resources,3,,,
ENST 480,Environmental and Energy Economics,3,,1,
ENST 490,Special Study and Research,V,,,
ENST 513,Seminar: Topics Related to the Earth's Deep Interior,V,,,
ENST 646,Advanced Topics in Biomedical Anthropology,V,,,
