PSYC,,Hours,DII,DIII
PSYC 101,Introduction to Psychology,3,1,
PSYC 102,Readings in Introductory Psychology,1,1,
PSYC 202,Introduction to Social Psychology,3,1,
PSYC 203,Introduction to Cognitive Psychology,3,1,
PSYC 231,Industrial and Organizational Psychology,3,1,
PSYC 260,Undergraduate Professional Issues in Psychology,1,,
PSYC 308,Memory,3,1,
PSYC 309,Psychology of Language,3,1,
PSYC 315,Introduction to Semantics,3,1,
PSYC 321,Developmental Psychology,3,1,
PSYC 325,,,,
PSYC 329,Psychological Testing,3,1,
PSYC 330,Personality Theory and Research,3,1,
PSYC 331,Psychology of Gender,,1,
PSYC 332,Abnormal Behavior,3,1,
PSYC 339,Statistical Methods-Psychology,4,,
PSYC 340,Research Methods - Psychology,4,,
PSYC 341,Human-Computer Interaction,3,,
PSYC 342,Computer Applications in Psychology,3,,
PSYC 343,,0,,
PSYC 345,Health Psychology,3,1,
PSYC 351,Psychology of Perception,3,1,
PSYC 352,,,,
PSYC 353,Psychology of Emotion and Motivation,3,1,
PSYC 360,,,,
PSYC 362,Biopsychology,3,1,
PSYC 370,Introduction to Human Factors and Ergonomics,3,1,
PSYC 375,Neuropsychology of Language and Memory,3,1,
PSYC 380,Fundamental Neuroscience Systems,,,
PSYC 385,,,,
PSYC 409,Methods in Human-Computer Interaction,3,,
PSYC 411,History of Psychology,3,,
PSYC 420,"Election Systems, Technologies, and Administration",3,1,
PSYC 430,Computational Modeling of Cognitive Process\,3,,
PSYC 431,Advanced Industrial/Organizational Psychology Seminar,3,,
PSYC 432,Brain and Behavior,3,,
PSYC 435,Pollution and Psychological Development,3,,
PSYC 436,Advanced Organizational Psychology,3,,
PSYC 438,Group Dynamics,3,,
PSYC 439,Adanced Statistical Methods for Psychology Undergraduates,3,,
PSYC 440,Research Seminar: Industrial/Organizational Psychology,3,,
PSYC 441,Human-Computer Interaction,3,,
PSYC 445,Advanced Seminar in Health Psychology,3,,
PSYC 455,Advanced Seminar in Clinical Psychology,3,,
PSYC 461,"Reasoning, Decision Making, Problem Solving",3,,
PSYC 465,Olfactory Perception,3,,
PSYC 470,Engineering Psychology,3,,
PSYC 471,,,,
PSYC 475,Stereotyping and Prejudice,3,,
PSYC 480,Advanced Topics,3,,
PSYC 485,Supervised Research,V,,
PSYC 488,Supervised Reading,,,
PSYC 495,Summer Internship,3,,
PSYC 499,Honors Thesis,V,,
